,busID,ProximaParada,Ruta,Orientacion,rangoHora,tiempoRecorrido
8357,5533,102,1956,1.0,7.0,95.0
8358,5533,102,1956,1.0,9.0,63.0
8359,5533,102,1956,1.0,10.0,31.0
8360,7793,77,261,0.0,4.5,376.0
8361,6381,115,1628,0.0,21.0,62.0
8362,4483,284,3125,0.0,19.0,33.0
8363,6322,190,615,1.0,6.0,62.0
8364,6623,5,1555,1.0,18.0,0.0
8365,6623,5,1555,1.0,22.5,33.0
8366,2143,215,760,0.0,18.5,32.0
8367,2754,196,1692,0.0,21.0,126.0
8368,2754,196,1692,0.0,0.0,0.0
8369,6559,156,2450,1.0,1.5,95.0
8370,5256,94,1853,1.0,4.5,32.0
8371,3363,292,2069,0.0,4.5,31.0
8372,4559,3,1346,1.0,16.0,31.0
8373,4860,39,707,0.0,17.0,32.0
8374,4860,39,707,0.0,18.5,0.0
8375,4860,39,707,0.0,21.0,0.0
8376,4860,39,707,0.0,23.0,31.0
8377,9695,27,1157,0.0,12.0,32.0
8378,9416,46,1318,1.0,6.0,62.0
8379,9416,46,1318,1.0,7.0,0.0
8380,9416,46,1318,1.0,8.0,0.0
8381,6693,105,1630,0.0,22.0,63.0
8382,6693,105,1630,0.0,1.0,0.0
8383,6693,105,1630,0.0,5.0,32.0
8384,6693,105,1630,0.0,8.0,0.0
8385,5079,13,736,0.0,5.5,31.0
8386,5079,13,736,0.0,7.5,64.0
8387,229,281,2955,0.0,18.5,32.0
8388,229,281,2955,0.0,21.5,222.0
8389,7764,87,324,0.0,22.0,126.0
8390,7764,87,324,0.0,0.0,187.0
8391,7764,87,324,0.0,2.0,124.0
8392,7764,87,324,0.0,4.0,127.0
8393,7764,87,324,0.0,6.5,126.0
8394,7764,87,324,0.0,8.5,63.0
8395,7764,87,324,0.0,10.0,63.0
8396,4159,245,1587,1.0,17.0,0.0
8397,4159,245,1587,1.0,18.0,32.0
8398,5325,25,1414,0.0,18.0,348.0
8399,5325,25,1414,0.0,22.0,221.0
8400,5325,25,1414,0.0,0.5,319.0
8401,5325,25,1414,0.0,3.5,255.0
8402,5325,25,1414,0.0,6.0,412.0
8403,9215,251,2086,1.0,19.0,31.0
